Жим 2мя ногами,170,170,170,170,,
,12,12,12,12,,8160
Подтягивания ,81,81,81,81,,
,12,12,12,12,,3888
Скручивания сверху диагональные,13,13,13,13,,
,13,13,13,13,,676
Колесо пресс,22,22,22,22,,
,20,20,20,20,,1760
Приседания на полусфере,80,80,80,80,,
,20,20,20,20,,6400
,,,,,,34132
,,,,,,
,,,,,,
1/28/2026,,,,,,
"79,4",1,2,3,4,5,6
голени подъем,40,40,40,40,,
,26,26,26,26,,4160
сгибания,45,45,45,45,,
,18,18,18,18,,3240
голени 2,80,80,80,80,,
,25,25,25,25,,8000
разгибания,59,59,59,59,,
,18,18,18,18,,4248
Жим одной ногой,75,75,75,75,,
,12,12,12,12,,3600
Жим 2мя ногами,170,170,170,170,,
,12,12,12,12,,8160
Подтягивания ,81,81,81,81,,
,12,12,12,12,,3888
Скручивания сверху диагональные,13,13,13,13,,
,13,13,13,13,,676
Колесо пресс,22,22,22,22,,
,20,20,20,20,,1760
Приседания на полусфере,80,80,80,80,,
,20,20,20,20,,6400
,,,,,,35972
,,,,,,
,,,,,,
2/11/2026,,,,,,
"78,8",1,2,3,4,5,6
голени подъем,40,40,40,40,,
,23,23,23,23,,3680
сгибания,45,45,45,45,,
,19,19,19,19,,3420
голени 2,25,25,25,25,,
,23,23,23,23,,2300
разгибания,59,59,59,59,,
,19,19,19,19,,4484
Жим одной ногой,75,75,75,75,,
,12,12,12,12,,3600
Жим 2мя ногами,170,170,170,170,,
,13,13,13,13,,8840
Подтягивания ,81,81,81,81,,
,12,12,12,12,,3888
Скручивания сверху диагональные,13,13,13,13,,
,0,0,0,0,,0
Колесо пресс,22,22,22,22,,
,0,0,0,0,,0
Приседания на полусфере,80,80,80,80,,
,20,20,20,20,,6400
,,,,,,30212
,,,,,,
,,,,,,
2/18/2026,,,,,,
77,1,2,3,4,5,6
голени подъем,40,40,40,40,,
,24,24,24,24,,3840
сгибания,45,45,45,45,,
,20,20,20,20,,3600
голени 2,25,25,25,25,,
,24,24,24,24,,2400
разгибания,59,59,59,59,,
,20,20,20,20,,4720
Жим одной ногой,75,75,75,75,,
,14,14,14,14,,4200
Жим 2мя ногами,170,170,170,170,,
,14,14,14,14,,9520
Подтягивания ,81,81,81,81,,
,10,10,10,10,,3240
Скручивания сверху диагональные,13,13,13,13,,
,0,0,0,0,,0
Колесо пресс,22,22,22,22,,
,0,0,0,0,,0
Приседания на полусфере,80,80,80,80,,
,20,20,20,20,,6400
,,,,,,31520
,,,,,,
,,,,,,
2/26/2026,,,,,,
78.75,1,2,3,4,5,6
голени подъем,40,40,40,40,,
,25,25,25,25,,4000
сгибания,45,45,45,45,,
,21,21,21,21,,3780
голени 2,25,25,25,25,,
,25,25,25,25,,2500
разгибания,59,59,59,59,,
,21,21,21,21,,4956
Жим одной ногой,75,75,75,75,,
,15,15,15,15,,4500
Жим 2мя ногами,170,170,170,170,,
,15,15,15,15,,10200
Подтягивания ,81,81,81,81,,
,11,11,11,11,,3564
Скручивания сверху диагональные,13,13,13,13,,
,0,0,0,0,,0
Колесо пресс,22,22,22,22,,
,0,0,0,0,,0
Приседания на полусфере,80,80,80,80,,
,20,20,20,20,,6400
,,,,,,33500
,,,,,,
3/18/2026,,,,,,
79.25,1,2,3,4,5,6
голени подъем,40,40,40,40,,
,25,25,25,25,,4000
сгибания,45,45,45,45,,
,21,21,21,21,,3780
